,Player,Team,Position,FPts,GP,GS,Min,MCS,W,CS,SA,STA,GA,GAIB,GAOB,Sv,SvIB,SvOB,YC,RC,FC,FS,ErS,ErG,Pen,DP,PKGA,PKS,PKF,PKD,PKM,SubOn,SubOff,TkW,DIS,Tu,G,A,KP,PA,AP,C,Int,IntB,CLRA,CLR,CoS,OO,DW,DL,AER,AERL,AC,ACNC,LBA,HCA,HCS,Sm,Pu,OG,SOT,LB,Date
0,Alisson,LIV,G,4.18,1,1,39,0,0,0,7,2,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2019-08-09
1,Tim Krul,NOR,G,0.5,1,1,90,0,0,0,16,8,4,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,25,0,0,0,2,2,0,0,1,0,1,0,0,0,9,2,2,0,0,0,0,29,2019-08-09
2,Nick Pope,BUR,G,17.26,1,1,90,90,1,1,11,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,13,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,26,2019-08-10
3,Ederson,MCI,G,16.54,1,1,90,90,1,1,5,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,2019-08-10
4,Mat Ryan,BHA,G,16.4,1,1,90,90,1,1,11,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,0,0,0,2,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,18,2019-08-10
5,Jordan Pickford,EVE,G,9.48,1,1,90,90,0,1,6,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,2019-08-10
6,Vicente Guaita,CRY,G,9.22,1,1,90,90,0,1,10,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,0,0,0,1,1,0,0,1,0,1,0,0,0,5,0,0,0,1,0,0,18,2019-08-10
7,Hugo Lloris,TOT,G,9.14,1,1,90,0,1,0,7,4,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2019-08-10
8,Aaron Ramsdale,BOU,G,3.22,1,1,90,0,0,0,8,3,1,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,2019-08-10
9,Dean Henderson,SHU,G,2.16,1,1,90,0,0,0,13,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,27,2019-08-10
