,Player,Team,Position,FPts,GP,GS,Min,G,GOF,A,KP,ABS,AFKG,AHW,AOG,APL,APKG,AR,ASOP,S,SOT,SOP,SB,Tk,TkW,TLM,Tu,DIS,PLC,FC,FS,ErS,ErG,YC,RC,RCR,HB,Pen,DP,Off,PA,AP,SFTP,C,AC,ACNC,CF,CK,CIB,CF.1,CC,FKS,Int,IntB,CLRA,CLR,CoA,CoS,CSLM,BC,BS,DW,DL,AER,AERL,BCC,BCM,BCS,BR,FKG,FKM,PL,LB,LBA,SubOn,SubOff,PKG,PKA,PKM,PKD,OG,GAO,SAO,CS,CS.1,MCS,CSD,Date
0,Mohamed Salah,LIV,F,27.84,1,1,90,1,4,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,18,1,1,0,0,0,0,0,0,0,0,0,30,22,19,7,1,0,6,7,1,1,0,0,0,0,0,0,2,2,0,0,0,3,5,0,1,0,0,1,2,0,0,18,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,2019-08-09
1,Divock Origi,LIV,F,22.52,1,1,74,1,4,0,2,0,0,0,1,0,0,0,0,1,1,0,0,3,3,0,3,1,15,0,2,0,0,0,0,0,0,0,0,0,18,11,7,4,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,2,1,0,0,0,1,2,0,0,15,2,0,0,1,0,0,0,0,0,1,9,0,0,0,0,2019-08-09
2,Trent Alexander-Arnold,LIV,D,19.58,1,1,90,0,4,1,3,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,1,27,1,0,0,0,0,0,0,0,0,0,0,40,24,6,8,1,1,7,3,0,3,1,1,2,0,1,1,1,0,0,1,1,2,4,1,0,2,0,0,7,0,0,27,10,4,0,0,0,0,0,0,0,1,12,0,0,0,0,2019-08-09
3,Teemu Pukki,NOR,F,18.68,1,1,83,1,1,0,2,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,2,0,8,0,1,0,0,0,0,0,0,0,0,1,14,9,3,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,2,4,0,3,0,0,1,2,0,0,8,1,0,0,1,0,0,0,0,0,4,15,0,0,0,0,2019-08-09
4,Virgil van Dijk,LIV,D,16.5,1,1,90,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,57,50,5,0,0,0,0,0,0,0,1,0,5,0,3,3,0,0,0,0,0,8,1,5,1,0,0,0,3,0,0,8,5,3,0,0,0,0,0,0,0,1,12,0,0,0,0,2019-08-09
5,Roberto Firmino,LIV,"M,F",14.46,1,1,86,0,4,1,1,0,0,0,0,0,0,0,0,4,1,1,2,1,1,0,2,0,10,0,1,0,0,0,0,0,0,0,0,0,30,23,10,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,0,0,7,7,1,4,1,1,0,5,0,0,10,1,1,0,1,0,0,0,0,0,1,10,0,0,0,0,2019-08-09
6,Emiliano Buendia,NOR,M,13.68,1,1,90,0,1,1,3,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,5,20,1,1,0,0,1,0,0,0,0,0,0,34,24,9,1,1,0,0,2,1,0,0,1,1,0,1,1,4,2,0,0,0,5,11,1,2,1,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,2019-08-09
7,Andrew Robertson,LIV,D,11.08,1,1,90,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,1,17,0,0,0,0,0,0,0,0,0,0,0,70,64,26,9,2,2,7,0,0,2,0,0,1,0,1,1,0,0,0,0,0,2,2,1,1,0,0,0,6,0,0,17,6,3,0,0,0,0,0,0,0,1,12,0,0,0,0,2019-08-09
8,Fabinho,LIV,M,10.16,1,1,90,0,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,8,5,0,0,1,10,1,1,0,0,0,0,0,0,0,0,0,42,33,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,11,3,1,0,0,0,0,10,0,0,10,3,1,0,0,0,0,0,0,0,1,12,0,0,0,0,2019-08-09
9,Jordan Henderson,LIV,M,9.7,1,1,90,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,14,2,2,0,0,0,0,0,0,0,0,0,54,45,15,4,0,0,4,1,0,3,0,0,2,0,0,0,3,2,0,0,0,6,5,0,0,0,0,0,6,0,0,14,11,6,0,0,0,0,0,0,0,1,12,0,0,0,0,2019-08-09
